gazetteerId,villageInnerId,categoryId,startYear,endYear,unitId,data
1501.0,1501.0,11,1949,1949,1,
1501.0,1501.0,11,1950,1950,1,
1501.0,1501.0,11,1951,1951,1,
1501.0,1501.0,11,1952,1952,1,
1501.0,1501.0,11,1953,1953,1,
1501.0,1501.0,11,1954,1954,1,
1501.0,1501.0,11,1955,1955,1,
1501.0,1501.0,11,1956,1956,1,
1501.0,1501.0,11,1957,1957,1,
1501.0,1501.0,11,1958,1958,1,
1501.0,1501.0,11,1959,1959,1,
1501.0,1501.0,11,1960,1960,1,
1501.0,1501.0,11,1961,1961,1,
1501.0,1501.0,11,1962,1962,1,
1501.0,1501.0,11,1963,1963,1,
1501.0,1501.0,11,1964,1964,1,
1501.0,1501.0,11,1965,1965,1,
1501.0,1501.0,11,1966,1966,1,
1501.0,1501.0,11,1967,1967,1,
1501.0,1501.0,11,1968,1968,1,
1501.0,1501.0,11,1969,1969,1,
1501.0,1501.0,11,1970,1970,1,
1501.0,1501.0,11,1971,1971,1,
1501.0,1501.0,11,1972,1972,1,
1501.0,1501.0,11,1973,1973,1,
1501.0,1501.0,11,1974,1974,1,
1501.0,1501.0,11,1975,1975,1,
1501.0,1501.0,11,1976,1976,1,
1501.0,1501.0,11,1977,1977,1,
1501.0,1501.0,11,1978,1978,1,
1501.0,1501.0,11,1979,1979,1,
1501.0,1501.0,11,1980,1980,1,
1501.0,1501.0,11,1981,1981,1,
1501.0,1501.0,11,1982,1982,1,
1501.0,1501.0,11,1983,1983,1,
1501.0,1501.0,11,1984,1984,1,
1501.0,1501.0,11,1985,1985,1,
1501.0,1501.0,11,1986,1986,1,
1501.0,1501.0,11,1987,1987,1,
1501.0,1501.0,11,1988,1988,1,
1501.0,1501.0,11,1989,1989,1,
1501.0,1501.0,11,1990,1990,1,1.0
1501.0,1501.0,11,1991,1991,1,
1501.0,1501.0,11,1992,1992,1,
1501.0,1501.0,11,1993,1993,1,
1501.0,1501.0,11,1994,1994,1,
1501.0,1501.0,11,1995,1995,1,
1501.0,1501.0,11,1996,1996,1,
1501.0,1501.0,11,1997,1997,1,
1501.0,1501.0,11,1998,1998,1,
1501.0,1501.0,11,1999,1999,1,
1501.0,1501.0,11,2000,2000,1,
1501.0,1501.0,11,2001,2001,1,
1501.0,1501.0,11,2002,2002,1,
1501.0,1501.0,11,2003,2003,1,
1501.0,1501.0,11,2004,2004,1,
1501.0,1501.0,11,2005,2005,1,
1501.0,1501.0,11,2006,2006,1,
1501.0,1501.0,11,2007,2007,1,
1501.0,1501.0,11,2008,2008,1,
1501.0,1501.0,11,2009,2009,1,
1501.0,1501.0,11,2010,2010,1,
1501.0,1501.0,11,2011,2011,1,
1501.0,1501.0,11,2012,2012,1,
1501.0,1501.0,11,2013,2013,1,
1501.0,1501.0,11,2014,2014,1,
1501.0,1501.0,11,2015,2015,1,
1501.0,1501.0,11,2016,2016,1,
1501.0,1501.0,11,2017,2017,1,
1501.0,1501.0,11,2018,2018,1,
1501.0,1501.0,11,2019,2019,1,
1501.0,1501.0,3,1949,1949,3,
1501.0,1501.0,3,1950,1950,3,
1501.0,1501.0,3,1951,1951,3,
1501.0,1501.0,3,1952,1952,3,
1501.0,1501.0,3,1953,1953,3,
1501.0,1501.0,3,1954,1954,3,
1501.0,1501.0,3,1955,1955,3,
1501.0,1501.0,3,1956,1956,3,
1501.0,1501.0,3,1957,1957,3,
1501.0,1501.0,3,1958,1958,3,
1501.0,1501.0,3,1959,1959,3,
1501.0,1501.0,3,1960,1960,3,
1501.0,1501.0,3,1961,1961,3,
1501.0,1501.0,3,1962,1962,3,
1501.0,1501.0,3,1963,1963,3,
1501.0,1501.0,3,1964,1964,3,
1501.0,1501.0,3,1965,1965,3,
1501.0,1501.0,3,1966,1966,3,
1501.0,1501.0,3,1967,1967,3,
1501.0,1501.0,3,1968,1968,3,
1501.0,1501.0,3,1969,1969,3,
1501.0,1501.0,3,1970,1970,3,
1501.0,1501.0,3,1971,1971,3,
1501.0,1501.0,3,1972,1972,3,
1501.0,1501.0,3,1973,1973,3,
1501.0,1501.0,3,1974,1974,3,
1501.0,1501.0,3,1975,1975,3,
1501.0,1501.0,3,1976,1976,3,
1501.0,1501.0,3,1977,1977,3,
1501.0,1501.0,3,1978,1978,3,
1501.0,1501.0,3,1979,1979,3,
1501.0,1501.0,3,1980,1980,3,
1501.0,1501.0,3,1981,1981,3,
1501.0,1501.0,3,1982,1982,3,
1501.0,1501.0,3,1983,1983,3,
1501.0,1501.0,3,1984,1984,3,
1501.0,1501.0,3,1985,1985,3,
1501.0,1501.0,3,1986,1986,3,
1501.0,1501.0,3,1987,1987,3,
1501.0,1501.0,3,1988,1988,3,
1501.0,1501.0,3,1989,1989,3,
1501.0,1501.0,3,1990,1990,3,
1501.0,1501.0,3,1991,1991,3,
1501.0,1501.0,3,1992,1992,3,
1501.0,1501.0,3,1993,1993,3,
1501.0,1501.0,3,1994,1994,3,
1501.0,1501.0,3,1995,1995,3,
1501.0,1501.0,3,1996,1996,3,
1501.0,1501.0,3,1997,1997,3,
1501.0,1501.0,3,1998,1998,3,1.36
1501.0,1501.0,3,1999,1999,3,
1501.0,1501.0,3,2000,2000,3,
1501.0,1501.0,3,2001,2001,3,
1501.0,1501.0,3,2002,2002,3,
1501.0,1501.0,3,2003,2003,3,
